city,season,metric,pre_status,pre_action,pre_stored_bias_c,pre_recomputed_bias_c,pre_delta_bias_c,pre_stored_sd_c,pre_recomputed_sd_c,pre_n_live,pre_n_prior,pre_n_paired,pre_reason,post_status,post_authority,post_stored_bias_c,post_stored_sd_c,post_n_live,post_n_prior,post_n_paired,post_stored_paired_delta_c,post_recomputed_bias_c,post_recomputed_sd_c,post_coverage_months_observed,post_delta_bias_c,post_fit_signature_hash,delta_bias_pre_to_post_stored,pre_sign_flip_vs_recompute,transition_class,notes
Hong Kong,MAM,low,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-1.9157040465111592,-1.9157040465111592,0.0,0.7383910173721009,0.7383910173721009,0,5,0,within_tolerance,REPRODUCIBLE,STAGING,-1.9157040465111592,0.7383910173721009,0,5,,,-1.9157040465111592,0.7383910173721009,"4,5",0.0,6d0a087aec1db8ea,0.0,no,STABLE_REPR,
Houston,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-0.409888447566503,-2.6312626600933107,-2.2213742125268077,1.8686644045779148,1.7440400101545799,16,43,1,pregate_ungated_paired_delta delta_bias=-2.2214 paired_delta_mean=+2.2214,REPRODUCIBLE,STAGING,-2.6312626600933107,1.8686644045779148,14,43,,,-2.6312626600933107,1.8686644045779148,"3,4,5",0.0,6992aaa2ed60c809,-2.2214,no,FIXED_NONREPR_TO_REPR,large-pre-delta=-2.221C
Istanbul,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-2.3748304578992827,-2.3748304578992827,0.0,0.9391169966309414,0.9391169966309414,12,36,0,within_tolerance,REPRODUCIBLE,STAGING,-2.3748304578992827,0.9391169966309414,12,36,,,-2.3748304578992827,0.9391169966309414,"3,4,5",0.0,441cae93e8a79da6,0.0,no,STABLE_REPR,
Jakarta,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-1.7486044320071534,-3.7991915064365336,-2.05058707442938,0.8623954555411125,1.0521551178421202,12,34,1,pregate_ungated_paired_delta delta_bias=-2.0506 paired_delta_mean=+2.0506,REPRODUCIBLE,STAGING,-3.7991915064365336,0.8623954555411125,10,34,,,-3.7991915064365336,0.8623954555411125,"4,5",0.0,ed3bedfa5882ebc4,-2.0506,no,FIXED_NONREPR_TO_REPR,large-pre-delta=-2.051C
Jakarta,SON,high,,,,,,,,,,,,INSUFFICIENT_PRIOR,STAGING,-3.7991915064365336,0.8623954555411125,10,34,,,,,,,9b8182c3786fde30,,,NEW_ROW_POST_SD3,hemisphere-aware-producer-unlocked
Jeddah,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-6.987112630208309,-6.669599740022124,0.317512890186185,1.7718218892866002,1.8608951057735021,16,30,4,pregate_ungated_paired_delta delta_bias=+0.3175 paired_delta_mean=-0.1509,REPRODUCIBLE,STAGING,-6.836237314261617,1.7718218892866002,14,29,,,-6.836237314261617,1.7718218892866002,"4,5",0.0,cf8a12955c7ee938,0.1509,no,FIXED_NONREPR_TO_REPR,
Karachi,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,1.3744313491455893,-0.45705208040787604,-1.8314834295534652,0.845497014988802,0.8720396259461625,15,22,1,pregate_ungated_paired_delta delta_bias=-1.8315 paired_delta_mean=+1.8315,REPRODUCIBLE,STAGING,-0.45705208040787604,0.845497014988802,13,22,,,-0.45705208040787604,0.845497014988802,"4,5",0.0,dff446b67a556fb1,-1.8315,yes,FIXED_NONREPR_TO_REPR,large-pre-delta=-1.831C;pre-sd3-sign-flip-detected
Kuala Lumpur,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-3.1340456302070736,-3.0947066120072666,0.03933901819980701,1.3913163746165194,1.3415602603686727,15,38,5,within_tolerance,REPRODUCIBLE,STAGING,-3.1340456302070736,1.3913163746165194,13,37,,,-3.1340456302070736,1.3913163746165194,"4,5",0.0,8c0910d33e235cd8,0.0,no,STABLE_REPR,
Lagos,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-2.5797166848139934,-2.5797166848139934,0.0,1.9357294349816554,1.9357294349816554,7,26,0,within_tolerance,REPRODUCIBLE,STAGING,-2.5797166848139934,1.9357294349816554,7,26,,,-2.5797166848139934,1.9357294349816554,"4,5",0.0,e96ecf90ef6da476,0.0,no,STABLE_REPR,
London,DJF,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.6282183809880939,-0.6282183809880939,0.0,0.7619848449887966,0.7619848449887966,0,116,0,within_tolerance,REPRODUCIBLE,STAGING,-0.6282183809880939,0.7619848449887966,0,116,,,-0.6282183809880939,0.7619848449887966,"1,2,12",0.0,25c793e87dc80667,0.0,no,STABLE_REPR,
London,JJA,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.11556017723545965,-0.11556017723545965,0.0,1.1519316966282973,1.1519316966282973,0,92,0,within_tolerance,REPRODUCIBLE,STAGING,-0.11556017723545965,1.1519316966282973,0,92,,,-0.11556017723545965,1.1519316966282973,"6,7,8",0.0,2820ddcfaeeba402,0.0,no,STABLE_REPR,
London,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.2746925209156782,-0.2746925209156782,0.0,1.162470656614924,1.1786981933958267,16,156,0,within_tolerance,REPRODUCIBLE,STAGING,-0.2746925209156782,1.162470656614924,15,156,,,-0.2746925209156782,1.162470656614924,"3,4,5",0.0,888272a77d8004f9,0.0,no,STABLE_REPR,
