city,season,metric,status,stored_bias_c,recomputed_bias_c,delta_bias_c,stored_sd_c,recomputed_sd_c,delta_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,reason,action,how
Dallas,MAM,high,NON_REPRODUCIBLE,-10.020718510616314,-0.1469766127341165,9.873741897882198,2.118128229981513,2.0128258096884903,-0.10530242029302261,15,65,1,pregate_ungated_paired_delta delta_bias=+9.8737 paired_delta_mean=-9.8737,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Denver,DJF,high,COVERAGE_MISLABELED,-2.6320920657488047,-2.6320920657488047,0.0,1.4630519156156643,1.4630519156156643,0.0,0,2,0,"coverage_months=(12,) expected=(1, 2, 12)",D_MONTH_SCOPE,convert to month-scoped row or block when target month not in coverage_months
Denver,MAM,high,NON_REPRODUCIBLE,0.8670239132437061,-1.2682706831104604,-2.1352945963541665,1.4172290648048274,1.4025951959484972,-0.014633868856330112,15,43,1,pregate_ungated_paired_delta delta_bias=-2.1353 paired_delta_mean=+2.1353,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Guangzhou,MAM,high,NON_REPRODUCIBLE,-2.7922113489221405,-0.873362675419535,1.9188486735026054,2.3165364410976053,2.152582990826449,-0.16395345027115615,15,22,1,pregate_ungated_paired_delta delta_bias=+1.9188 paired_delta_mean=-1.9188,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Helsinki,MAM,high,REPRODUCIBLE,-0.47269763515004093,-0.47269763515004093,0.0,1.1527486091421526,1.1391065655730614,-0.013642043569091156,15,32,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Hong Kong,MAM,high,NON_REPRODUCIBLE,-2.1082374738096545,0.6268801205913846,2.7351175944010393,1.3557695809394752,1.3557695809394752,0.0,0,46,1,pregate_ungated_paired_delta delta_bias=+2.7351 paired_delta_mean=-2.7351,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Hong Kong,MAM,low,REPRODUCIBLE,-1.9157040465111592,-1.9157040465111592,0.0,0.7383910173721009,0.7383910173721009,0.0,0,5,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Houston,MAM,high,NON_REPRODUCIBLE,-0.409888447566503,-2.6312626600933107,-2.2213742125268077,1.8686644045779148,1.7440400101545799,-0.12462439442333495,16,43,1,pregate_ungated_paired_delta delta_bias=-2.2214 paired_delta_mean=+2.2214,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Istanbul,MAM,high,REPRODUCIBLE,-2.3748304578992827,-2.3748304578992827,0.0,0.9391169966309414,0.9391169966309414,0.0,12,36,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Jakarta,MAM,high,NON_REPRODUCIBLE,-1.7486044320071534,-3.7991915064365336,-2.05058707442938,0.8623954555411125,1.0521551178421202,0.18975966230100771,12,34,1,pregate_ungated_paired_delta delta_bias=-2.0506 paired_delta_mean=+2.0506,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Jeddah,MAM,high,NON_REPRODUCIBLE,-6.987112630208309,-6.669599740022124,0.317512890186185,1.7718218892866002,1.8608951057735021,0.08907321648690192,16,30,4,pregate_ungated_paired_delta delta_bias=+0.3175 paired_delta_mean=-0.1509,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Karachi,MAM,high,NON_REPRODUCIBLE,1.3744313491455893,-0.45705208040787604,-1.8314834295534652,0.845497014988802,0.8720396259461625,0.026542610957360435,15,22,1,pregate_ungated_paired_delta delta_bias=-1.8315 paired_delta_mean=+1.8315,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Kuala Lumpur,MAM,high,REPRODUCIBLE,-3.1340456302070736,-3.0947066120072666,0.03933901819980701,1.3913163746165194,1.3415602603686727,-0.04975611424784665,15,38,5,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Lagos,MAM,high,REPRODUCIBLE,-2.5797166848139934,-2.5797166848139934,0.0,1.9357294349816554,1.9357294349816554,0.0,7,26,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
London,DJF,high,REPRODUCIBLE,-0.6282183809880939,-0.6282183809880939,0.0,0.7619848449887966,0.7619848449887966,0.0,0,116,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
London,JJA,high,REPRODUCIBLE,-0.11556017723545965,-0.11556017723545965,0.0,1.1519316966282973,1.1519316966282973,0.0,0,92,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
London,MAM,high,REPRODUCIBLE,-0.2746925209156782,-0.2746925209156782,0.0,1.162470656614924,1.1786981933958267,0.016227536780902607,16,156,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
London,MAM,low,NON_REPRODUCIBLE,-0.38841607336902206,-0.38841607336902206,0.0,0.5,1.4089801398336623,0.9089801398336623,3,10,0,sd_diff delta_sd=+0.9090,E_LOW_SCALE_REGEN,"bias_c OK; residual_sd changed → regen p_raw for LOW cohort (scale only, no bias refit)"
London,SON,high,REPRODUCIBLE,-0.6874737375050658,-0.6874737375050658,0.0,0.8451217363586283,0.8451217363586283,0.0,0,91,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Los Angeles,DJF,high,COVERAGE_MISLABELED,-2.3932786530139154,-2.3932786530139154,0.0,0.5,0.5,0.0,0,2,0,"coverage_months=(12,) expected=(1, 2, 12)",D_MONTH_SCOPE,convert to month-scoped row or block when target month not in coverage_months
Los Angeles,MAM,high,NON_REPRODUCIBLE,-2.0484069567768275,-1.0626891833393277,0.9857177734374998,0.8421757788620144,0.8079843803000404,-0.03419139856197406,16,43,1,pregate_ungated_paired_delta delta_bias=+0.9857 paired_delta_mean=-0.9857,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Lucknow,MAM,high,NON_REPRODUCIBLE,-1.7549553725298495,-0.184458869485269,1.5704965030445805,1.4984347529032311,1.448329302908689,-0.05010544999454214,15,62,1,pregate_ungated_paired_delta delta_bias=+1.5705 paired_delta_mean=-1.5705,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Madrid,MAM,high,REPRODUCIBLE,0.45186846863992136,0.45186846863992136,0.0,1.4738369090736576,1.3979206893260663,-0.07591621974759133,15,48,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Manila,MAM,high,NON_REPRODUCIBLE,-1.630898602213013,-2.717962410280184,-1.087063808067171,0.801899246168032,0.7865981678529576,-0.015301078315074434,15,23,2,pregate_ungated_paired_delta delta_bias=-1.0871 paired_delta_mean=+1.0871,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Mexico City,MAM,high,NON_REPRODUCIBLE,-0.5068258460453003,0.030901061123819136,0.5377269071691195,1.8022702558691546,1.6892079029208382,-0.11306235294831635,15,37,1,pregate_ungated_paired_delta delta_bias=+0.5377 paired_delta_mean=-0.5377,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Miami,DJF,high,REPRODUCIBLE,-0.028074324988050126,-0.028074324988050126,0.0,1.4659626265277181,1.4659626265277181,0.0,0,40,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Miami,MAM,high,NON_REPRODUCIBLE,-0.7272792953997173,0.24330998727527842,0.9705892826749957,0.991036219440005,0.9753868404668596,-0.015649378973145334,12,66,2,pregate_ungated_paired_delta delta_bias=+0.9706 paired_delta_mean=-0.9904,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Miami,MAM,low,REPRODUCIBLE,-1.9047758347587933,-1.9047758347587933,0.0,2.9388472533979444,2.9388472533979444,0.0,0,9,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Milan,MAM,high,REPRODUCIBLE,-0.3955825356875911,-0.3955825356875911,0.0,1.068605694797202,1.060739934435038,-0.007865760362164131,15,48,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Moscow,MAM,high,REPRODUCIBLE,0.48637886795345414,0.48637886795345414,0.0,1.3008924302734959,1.3008924302734959,0.0,11,35,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Munich,MAM,high,REPRODUCIBLE,-0.9422547097299382,-0.9422547097299382,0.0,0.8969758707536805,0.9623981986286829,0.06542232787500246,16,60,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
NYC,DJF,high,REPRODUCIBLE,-1.9994578562647878,-1.9994578562647878,0.0,1.652190199782501,1.652190199782501,0.0,0,115,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
NYC,JJA,high,REPRODUCIBLE,0.5243337809460659,0.5243337809460659,0.0,1.6199606443988315,1.6199606443988315,0.0,0,92,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
NYC,MAM,high,NON_REPRODUCIBLE,-3.4667559949250073,-0.2126756152145346,3.254080379710473,1.521973654912878,1.50616960775632,-0.01580404715655792,16,154,1,pregate_ungated_paired_delta delta_bias=+3.2541 paired_delta_mean=-3.2541,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
NYC,MAM,low,NON_REPRODUCIBLE,-2.974710980583617,-2.974710980583617,0.0,2.9385998867988548,1.853573372321682,-1.0850265144771727,3,5,0,sd_diff delta_sd=-1.0850,E_LOW_SCALE_REGEN,"bias_c OK; residual_sd changed → regen p_raw for LOW cohort (scale only, no bias refit)"
NYC,SON,high,REPRODUCIBLE,-0.5917093688366234,-0.5917093688366234,0.0,1.4441231467808822,1.4441231467808822,0.0,0,90,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Panama City,MAM,high,NON_REPRODUCIBLE,-0.8794235763763254,-2.2327073276209646,-1.3532837512446392,1.3207835376872152,1.3043665066110144,-0.01641703107620085,15,34,1,pregate_ungated_paired_delta delta_bias=-1.3533 paired_delta_mean=+1.3533,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Paris,DJF,high,COVERAGE_MISLABELED,-1.2717946646619658,-1.2717946646619658,0.0,0.6567931164049089,0.6567931164049089,0.0,0,15,0,"coverage_months=(2,) expected=(1, 2, 12)",D_MONTH_SCOPE,convert to month-scoped row or block when target month not in coverage_months
Paris,MAM,high,REPRODUCIBLE,-1.210331991894729,-1.210331991894729,0.0,1.0984966173505561,1.093784912138551,-0.004711705212005146,16,64,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Paris,MAM,low,NON_REPRODUCIBLE,0.3742903632536143,0.3742903632536143,0.0,2.198139308617482,0.953384535421686,-1.2447547731957962,2,11,0,sd_diff delta_sd=-1.2448,E_LOW_SCALE_REGEN,"bias_c OK; residual_sd changed → regen p_raw for LOW cohort (scale only, no bias refit)"
