city,season,month,metric,family,live_data_version,prior_data_version,training_cutoff,stored_bias_c,stored_sd_c,stored_n_live,stored_n_prior,stored_n_paired,stored_paired_delta_c,stored_code_commit,stored_fit_signature_hash,stored_authority,status,reason,recomputed_bias_c,recomputed_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,recomputed_paired_delta_c,coverage_months_observed,delta_bias_c,delta_sd_c
Hong Kong,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-27,-1.9157040465111592,0.7383910173721009,0,5,,,eba9bc58768df75e4e365ca3887d9d00a98a76af,7fab28afde9b8c35,VERIFIED,REPRODUCIBLE,within_tolerance,-1.9157040465111592,0.7383910173721009,0,5,0,,"4,5",0.0,0.0
Houston,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.409888447566503,1.8686644045779148,14,43,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,5d4c774413a9a223,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-2.2214 paired_delta_mean=+2.2214,-2.6312626600933107,1.7440400101545799,16,43,1,2.2213742125268077,"3,4,5",-2.2213742125268077,-0.12462439442333495
Istanbul,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.3748304578992827,0.9391169966309414,12,36,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,c23e13d6c2e1e486,VERIFIED,REPRODUCIBLE,within_tolerance,-2.3748304578992827,0.9391169966309414,12,36,0,,"3,4,5",0.0,0.0
Jakarta,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.7486044320071534,0.8623954555411125,10,34,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,ed3bedfa5882ebc4,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-2.0506 paired_delta_mean=+2.0506,-3.7991915064365336,1.0521551178421202,12,34,1,2.05058707442938,"4,5",-2.05058707442938,0.18975966230100771
Jeddah,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-6.987112630208309,1.7718218892866002,14,29,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,622fe9b5b0537963,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+0.3175 paired_delta_mean=-0.1509,-6.669599740022124,1.8608951057735021,16,30,4,-0.150875315946692,"4,5",0.317512890186185,0.08907321648690192
Karachi,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,1.3744313491455893,0.845497014988802,13,22,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,9f2e20c6b7891838,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-1.8315 paired_delta_mean=+1.8315,-0.45705208040787604,0.8720396259461625,15,22,1,1.8314834295534652,"4,5",-1.8314834295534652,0.026542610957360435
Kuala Lumpur,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-3.1340456302070736,1.3913163746165194,13,37,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,8485d3de92896f7c,VERIFIED,REPRODUCIBLE,within_tolerance,-3.0947066120072666,1.3415602603686727,15,38,5,0.5464913760914513,"4,5",0.03933901819980701,-0.04975611424784665
Lagos,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.5797166848139934,1.9357294349816554,7,26,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,71d9327d8fbfbd27,VERIFIED,REPRODUCIBLE,within_tolerance,-2.5797166848139934,1.9357294349816554,7,26,0,,"4,5",0.0,0.0
London,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.6282183809880939,0.7619848449887966,0,116,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,bc4aa4d1f67e1e55,VERIFIED,REPRODUCIBLE,within_tolerance,-0.6282183809880939,0.7619848449887966,0,116,0,,"1,2,12",0.0,0.0
London,JJA,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.11556017723545965,1.1519316966282973,0,92,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,3f0b6692ec729af9,VERIFIED,REPRODUCIBLE,within_tolerance,-0.11556017723545965,1.1519316966282973,0,92,0,,"6,7,8",0.0,0.0
